op,value
push,0x625ab58d
push,0x1b4ee318
pop,0x5a139d83
pop,0x38ed88d4
pop,0x314c6507
push,0x378ac81e
pop,0x384cd82b
push,0x5009bb5e
push,0x3452e98b
pop,0x187ef340
push,0x21bb2bcd
push,0x101b8897
push,0x5c0bb359
push,0x70e3e469
push,0x5f0dead0
pop,0x1f4aa3e6
pop,0x49c4264b
push,0x5bd8a433
push,0x6f3ab9cb
push,0x47704e77
push,0x57f2bb4e
pop,0x14d83110
pop,0x625ab58d
pop,0x1b4ee318
push,0x50230b5d
push,0x73d1364f
pop,0x378ac81e
push,0x0906bd5f
